date,open,high,low,close,volume
2019-01-09,91.87,91.9,89.89,90.34,3310417
2019-01-10,88.1,90.82,87.41,90.73,2830581
2019-01-11,90.59,92.07,90.38,91.21,2105050
2019-01-14,90.44,91.68,90.11,90.63,2394667
2019-01-15,90.61,91.4,90.22,90.85,2818721
2019-01-16,91.0,91.7,89.95,90.25,2188964
2019-01-17,89.67,90.88,89.25,90.8,2408418
2019-01-18,91.68,93.37,90.89,93.01,2931486
2019-01-22,92.18,92.78,90.96,91.63,2467837
2019-01-23,91.86,91.88,90.66,91.51,1665185
2019-01-24,91.84,91.84,90.34,91.2,2547089
2019-01-25,92.23,92.69,91.72,92.51,1666543
2019-01-28,92.25,92.25,90.94,91.54,2362490
2019-01-29,91.54,91.6,90.6,91.47,1722196
2019-01-30,91.83,92.81,91.31,92.29,1603712
2019-01-31,92.27,92.63,91.65,92.12,2854219
2019-02-01,92.45,92.54,91.06,91.73,1815527
2019-02-04,91.75,92.34,91.03,92.34,1962585
2019-02-05,92.3,93.39,92.12,93.19,1533581
2019-02-06,92.92,93.01,91.71,92.66,1393177
2019-02-07,92.16,92.71,91.57,92.59,1518109
2019-02-08,92.33,93.19,92.07,92.95,1656677
2019-02-11,93.25,94.65,92.97,94.13,1773182
2019-02-12,94.63,95.13,94.04,94.76,1541178
2019-02-13,95.13,95.14,93.91,94.64,2189260
2019-02-14,94.13,94.15,92.36,93.29,1996610
2019-02-15,94.32,94.69,93.56,94.01,2342623
2019-02-19,93.98,93.98,92.8,93.67,2225336
2019-02-20,93.75,94.35,93.35,93.97,2358111
2019-02-21,93.93,94.01,93.15,93.53,1624639
2019-02-22,93.63,94.42,93.49,94.37,1602593
2019-02-25,94.7,95.21,93.72,93.86,1826370
2019-02-26,93.91,94.83,93.63,94.34,2022098
2019-02-27,93.82,95.22,93.54,94.78,2659602
2019-02-28,94.86,95.42,93.97,94.83,2685888
2019-03-01,95.78,96.21,94.57,94.86,1997701
2019-03-04,95.42,95.57,93.17,93.6,1755218
2019-03-05,95.11,95.47,93.44,94.17,3723005
2019-03-06,94.0,96.5,93.5,94.43,4341612
2019-03-07,93.58,93.8,91.12,92.41,3599841
2019-03-08,91.48,91.69,88.65,89.06,3061940
2019-03-11,89.32,90.94,89.0,90.74,2375160
2019-03-12,90.83,91.19,90.03,91.16,2115424
2019-03-13,91.26,91.58,90.65,90.69,2007536
2019-03-14,90.46,90.46,88.31,89.24,3705734
2019-03-15,89.09,90.0,88.61,89.9,5396215
2019-03-18,89.65,91.33,89.65,91.13,2869017
2019-03-19,91.2,92.38,90.87,91.72,2599431
2019-03-20,91.7,92.02,91.15,91.51,2181966
2019-03-21,91.35,91.92,91.03,91.5,1520230
2019-03-22,91.07,91.46,89.46,89.53,2318126
2019-03-25,89.24,90.66,89.03,89.8,1610257
2019-03-26,90.26,91.17,90.04,90.9,1837797
2019-03-27,91.0,92.34,90.75,91.66,2328576
2019-03-28,92.09,93.0,91.46,91.91,1923180
2019-03-29,92.46,93.51,92.07,93.1,2146783
2019-04-01,93.77,94.34,92.94,94.26,2556555
2019-04-02,94.12,94.24,93.45,93.76,2011016
2019-04-03,94.36,95.11,93.58,94.98,1717532
2019-04-04,95.06,97.6,94.97,97.48,1970953
2019-04-05,97.79,98.93,97.49,98.41,2329524
2019-04-08,98.2,98.99,97.62,98.67,1427681
2019-04-09,97.97,98.43,97.34,97.55,1291077
2019-04-10,98.06,98.75,97.68,98.34,1570632
2019-04-11,98.62,98.95,97.09,97.63,1929556
2019-04-12,97.82,98.38,97.0,97.37,1913217
2019-04-15,97.28,98.35,97.0,98.01,1447888
2019-04-16,98.46,99.16,98.06,98.88,1333778
2019-04-17,99.32,100.12,99.18,99.92,1551493
2019-04-18,100.45,100.77,99.82,100.0,2393653
2019-04-22,99.6,100.01,97.13,97.78,1565669
2019-04-23,98.23,98.36,97.23,97.86,2080147
2019-04-24,97.94,99.53,97.71,98.56,2416040
2019-04-25,97.57,98.73,97.19,98.02,1489871
2019-04-26,98.32,98.63,97.5,98.55,1450866
2019-04-29,98.43,99.81,98.14,98.27,1630500
2019-04-30,98.27,98.43,97.09,97.66,2314209
2019-05-01,97.5,97.64,95.8,95.88,1887140
2019-05-02,96.01,96.83,95.9,96.36,2135562
2019-05-03,96.95,97.24,96.34,97.13,1314069
2019-05-06,95.73,97.68,95.55,97.39,1163800
2019-05-07,96.75,96.76,95.12,95.76,1646341
2019-05-08,95.57,97.48,94.6,96.83,1881265
2019-05-09,95.92,97.52,95.6,97.01,1446411
2019-05-10,96.49,98.11,95.05,97.49,1928092
2019-05-13,95.78,96.48,92.72,93.45,2814804
2019-05-14,94.0,95.09,93.47,94.46,2501534
2019-05-15,93.7,94.88,93.19,94.5,1759901
2019-05-16,94.93,97.0,94.93,95.88,1677364
2019-05-17,95.4,97.39,95.26,97.2,2452709
2019-05-20,96.77,97.52,96.44,96.67,2575787
2019-05-21,96.44,97.8,95.31,97.4,2846894
2019-05-22,96.83,96.83,94.12,94.53,3002475
2019-05-23,93.94,94.94,92.78,94.51,3203484
2019-05-24,92.58,94.0,91.59,92.78,5842989
2019-05-28,93.69,95.65,91.28,91.33,5083904
2019-05-29,90.77,91.73,89.55,90.3,3095123
2019-05-30,90.65,92.95,90.61,92.9,2601554
2019-05-31,91.84,93.26,91.46,92.99,2525759
2019-06-03,92.93,93.75,91.54,92.04,2396538
2019-06-04,92.8,94.74,92.79,94.64,2335385
2019-06-05,94.93,95.65,94.44,94.99,1755722
2019-06-06,95.25,96.46,94.79,96.16,2240105
2019-06-07,96.85,99.55,96.75,99.16,3195088
2019-06-10,99.1,100.4,97.81,98.0,2606002
2019-06-11,98.63,99.16,97.87,98.47,2661604
2019-06-12,98.79,99.5,98.24,98.31,1910368
2019-06-13,98.98,100.57,97.59,100.54,2221468
2019-06-14,100.77,101.69,100.43,100.97,2562833
2019-06-17,100.98,102.13,100.41,101.44,2363068
2019-06-18,102.33,103.85,102.05,102.61,2489454
2019-06-19,102.83,103.58,101.71,103.38,1785866
2019-06-20,104.07,105.31,103.63,104.57,1920749
2019-06-21,104.65,105.15,103.9,103.96,3068485
2019-06-24,103.0,104.26,101.9,102.85,2058670
2019-06-25,102.84,103.09,101.29,101.51,2349053
2019-06-26,102.07,103.11,101.43,102.4,1938709
2019-06-27,99.6,100.63,98.84,100.54,3678807
2019-06-28,100.65,101.46,99.06,99.12,8249368
2019-07-01,100.53,101.92,98.56,98.98,2736000
2019-07-02,98.79,99.39,97.53,98.18,2174038
2019-07-03,98.4,100.04,98.39,100.0,1211912
2019-07-05,98.86,100.91,98.86,100.88,1612295
2019-07-08,100.78,101.71,100.2,101.58,1638294
2019-07-09,101.5,102.56,101.18,101.98,1877490
2019-07-10,102.59,102.96,101.38,102.61,1541185
2019-07-11,103.0,103.25,102.37,102.9,1722873
2019-07-12,103.51,106.78,103.08,106.02,3693738
2019-07-15,106.17,107.24,104.94,106.35,2448498
2019-07-16,106.55,107.45,106.0,106.81,2025198
2019-07-17,106.91,107.93,106.57,107.29,1774182
2019-07-18,107.38,107.63,106.37,107.04,2218805
2019-07-19,107.77,108.2,106.51,106.61,2738179
2019-07-22,107.06,107.48,105.66,105.94,1905682
2019-07-23,106.11,106.63,105.32,106.11,1303553
2019-07-24,105.94,106.61,105.5,105.95,1578831
2019-07-25,104.28,105.99,104.28,105.52,1705186
2019-07-26,105.85,107.06,105.09,106.83,1261539
2019-07-29,106.55,106.92,106.0,106.51,1060922
2019-07-30,106.15,106.48,105.47,106.34,1220464
2019-07-31,106.19,107.04,104.42,106.03,1485024
2019-08-01,106.69,107.08,102.49,103.57,1588947
2019-08-02,103.53,104.45,102.94,103.49,1563820
2019-08-05,102.32,103.07,100.16,101.22,2184873
2019-08-06,101.56,103.61,101.06,103.38,1664445
2019-08-07,102.07,104.22,101.55,103.91,1767597
2019-08-08,104.68,107.23,104.47,107.04,1861781
2019-08-09,106.9,107.12,104.96,105.5,1549755
2019-08-12,105.18,105.45,102.92,103.28,1743872
2019-08-13,103.24,108.04,102.26,106.44,1672776
2019-08-14,104.54,104.54,102.07,102.17,2413701
2019-08-15,103.19,103.45,100.68,101.41,1983945
2019-08-16,102.58,103.65,102.27,103.18,1946039
2019-08-19,104.89,105.4,103.33,104.09,1721823
2019-08-20,103.02,105.08,102.6,104.19,2308004
2019-08-21,105.71,106.62,104.26,105.7,1688028
2019-08-22,106.87,107.94,105.7,107.4,3930841
2019-08-23,105.64,106.37,102.41,102.95,3919595
2019-08-26,103.35,104.76,103.3,104.56,1787546
2019-08-27,105.11,105.13,102.54,102.58,2355036
2019-08-28,102.3,104.82,102.0,104.56,2095100
2019-08-29,105.99,107.56,105.99,107.11,1927082
2019-08-30,107.43,108.48,105.78,106.01,2290601
2019-09-03,105.17,106.09,104.07,105.02,2095782
2019-09-04,105.48,106.0,104.81,105.97,1612155
2019-09-05,107.0,109.48,106.74,109.36,2440947
2019-09-06,109.65,110.67,109.04,109.18,1436381
2019-09-09,109.31,109.69,107.68,108.49,1443322
2019-09-10,108.55,108.69,106.43,108.16,2081548
2019-09-11,107.38,108.6,106.67,108.31,2020564
2019-09-12,109.26,110.88,109.0,109.36,2242131
2019-09-13,109.61,110.26,109.02,109.13,1576072
2019-09-16,108.58,108.58,107.5,107.59,1518598
2019-09-17,107.81,108.98,107.4,108.14,1859353
2019-09-18,108.09,108.81,107.32,108.71,2008904
2019-09-19,108.81,109.64,108.39,108.61,1209160
2019-09-20,108.57,109.54,104.57,104.75,4640988
2019-09-23,105.36,107.31,105.28,107.03,2736596
2019-09-24,108.3,109.12,106.77,107.64,2184494
2019-09-25,107.69,109.13,107.69,108.24,1725492
2019-09-26,108.71,109.0,106.99,107.85,1397180
2019-09-27,108.61,109.43,108.14,109.05,1944599
2019-09-30,109.14,110.39,109.14,109.85,1617716
2019-10-01,110.37,111.42,109.24,109.3,1975427
2019-10-02,108.87,108.89,106.94,107.53,1724630
2019-10-03,107.05,107.24,104.82,106.93,1361206
2019-10-04,107.32,109.27,107.26,108.93,1593477
2019-10-07,108.21,108.97,107.75,108.14,1638017
2019-10-08,107.46,109.31,106.8,107.88,1715622
2019-10-09,108.5,109.43,108.03,109.17,1471176
2019-10-10,108.87,111.19,108.52,111.01,2069221
2019-10-11,112.0,113.51,111.66,112.46,1972219
2019-10-14,112.43,112.84,111.33,111.4,1356546
2019-10-15,111.65,112.5,111.64,111.94,1629498
2019-10-16,111.95,112.68,111.5,112.26,1862648
2019-10-17,112.98,113.69,112.59,113.03,1030356
2019-10-18,112.81,114.83,112.5,114.13,1595657
2019-10-21,111.49,113.22,109.07,110.98,2864344
2019-10-22,111.28,112.98,111.03,111.9,1463941
2019-10-23,111.98,112.22,109.67,109.89,1553432
2019-10-24,110.22,110.69,109.18,110.44,1367211
2019-10-25,110.1,111.61,109.66,110.69,1116894
2019-10-28,110.62,111.12,109.26,109.39,1547980
2019-10-29,109.45,110.5,108.75,108.82,1565693
2019-10-30,108.69,110.39,108.59,110.32,1579130
2019-10-31,110.49,110.97,109.23,109.67,1790926
2019-11-01,110.19,111.57,109.74,110.99,1294437
2019-11-04,111.61,112.02,110.99,111.77,1540419
2019-11-05,111.49,112.8,111.41,112.06,1704693
2019-11-06,112.45,112.52,111.32,112.26,1282153
2019-11-07,112.35,113.72,112.18,113.07,1389706
2019-11-08,112.77,113.06,111.4,111.82,1432041
2019-11-11,111.66,112.38,111.11,112.18,1126286
2019-11-12,112.15,112.41,110.84,110.97,1327068
2019-11-13,111.01,111.94,109.33,111.39,1718706
2019-11-14,111.76,113.0,111.0,112.84,1291427
2019-11-15,113.66,113.67,112.24,113.37,1151812
2019-11-18,112.94,113.34,111.84,112.19,1801107
2019-11-19,112.72,113.96,111.82,112.42,1993510
2019-11-20,112.4,112.91,109.99,110.44,2269722
2019-11-21,111.17,111.85,110.6,111.79,2495621
2019-11-22,113.08,113.89,108.41,111.52,3955545
2019-11-25,112.03,113.99,111.55,113.33,2210059
2019-11-26,113.38,116.03,112.99,115.33,5066586
2019-11-27,116.12,116.49,115.2,116.33,1589988
2019-11-29,116.58,117.24,116.05,116.15,1411533
2019-12-02,116.65,117.58,115.89,116.0,2535229
2019-12-03,115.01,115.85,113.58,114.27,1907782
2019-12-04,114.52,115.11,113.59,114.15,1964624
2019-12-05,114.24,114.3,113.21,113.49,1359281
2019-12-06,114.84,115.14,113.7,113.91,1243518
2019-12-09,113.76,115.38,113.69,115.06,1955421
2019-12-10,114.98,115.37,114.2,114.95,1264294
2019-12-11,115.3,115.3,114.13,114.85,1403582
2019-12-12,114.88,116.79,114.57,116.45,2041831
2019-12-13,116.3,116.39,115.24,115.49,1319210
2019-12-16,116.03,116.53,114.18,114.39,1937501
2019-12-17,114.71,114.71,113.5,113.81,1746014
2019-12-18,113.81,114.15,112.58,113.49,1863830
2019-12-19,113.74,115.2,113.74,115.16,1427893
2019-12-20,116.13,116.13,114.52,115.23,3701798
2019-12-23,115.36,115.53,114.1,114.2,1470753
2019-12-24,114.55,115.4,114.28,115.12,535707
2019-12-26,115.05,115.6,114.27,115.31,1032987
2019-12-27,116.1,116.1,114.53,114.96,895613
2019-12-30,114.67,117.01,114.16,116.5,1415423
2019-12-31,116.59,117.04,115.65,116.42,1576068
2020-01-02,116.48,116.84,115.47,116.83,1722533
2020-01-03,115.43,117.0,115.2,116.86,1486507
2020-01-06,116.25,117.48,115.64,117.43,1573578
2020-01-07,117.01,118.88,116.54,118.8,1962432
2020-01-08,119.11,120.09,118.95,119.15,1565172
2020-01-09,120.67,122.62,119.54,122.13,2185800
2020-01-10,122.1,122.38,120.5,120.72,1271757
2020-01-13,120.68,120.78,119.24,119.97,1392134
2020-01-14,120.04,120.13,118.81,118.96,1828055
2020-01-15,118.51,119.37,117.45,117.77,1409128
2020-01-16,118.39,118.92,117.45,118.05,1853653
2020-01-17,118.21,118.72,117.45,117.68,2094840
2020-01-21,117.25,118.22,117.17,117.8,1853268
2020-01-22,118.13,118.5,117.4,117.41,1770607
2020-01-23,117.34,118.62,116.04,118.21,1989100
2020-01-24,118.02,118.4,115.27,115.76,1548109
2020-01-27,114.07,115.5,113.5,114.85,2678141
2020-01-28,115.11,115.47,114.36,114.48,1558417
2020-01-29,114.73,115.42,113.96,114.27,1365941
2020-01-30,113.48,114.66,113.06,114.18,1627082
2020-01-31,113.84,114.04,111.48,112.19,5115003
2020-02-03,112.56,114.72,112.54,113.83,1662683
2020-02-04,115.78,116.8,115.25,116.35,1510178
2020-02-05,117.07,119.08,117.07,118.74,1715669
2020-02-06,119.34,119.65,118.14,118.19,1266983
2020-02-07,118.02,118.03,116.54,117.43,1059037
2020-02-10,116.89,118.4,116.71,118.26,1373643
2020-02-11,119.04,119.93,118.67,119.7,1260875
2020-02-12,120.48,120.6,119.67,120.06,1388782
2020-02-13,119.76,120.75,119.48,120.6,1290253
2020-02-14,120.91,121.97,120.68,121.78,1307722
2020-02-18,121.58,123.01,121.02,122.49,1497159
2020-02-19,122.96,123.63,122.57,122.94,1061151
2020-02-20,122.84,124.16,121.94,123.81,1065417
2020-02-21,123.26,123.87,122.12,123.24,1316430
2020-02-24,122.0,123.18,121.05,121.62,1816419
2020-02-25,121.99,122.21,116.56,116.75,2295761
2020-02-26,118.4,121.41,117.96,119.2,2432274
2020-02-27,117.8,119.02,111.85,111.94,2738935
2020-02-28,108.62,110.65,106.76,108.78,4151995
2020-03-02,109.22,112.0,105.95,111.98,3138075
2020-03-03,111.0,114.31,107.59,109.22,3487332
2020-03-04,109.38,110.5,105.81,109.56,4938746
2020-03-05,106.34,107.16,100.7,101.69,3136919
2020-03-06,97.59,103.42,97.34,102.51,3940181
2020-03-09,96.99,97.82,94.41,94.81,4067486
2020-03-10,97.16,101.92,95.78,101.85,3921190
2020-03-11,99.42,100.97,97.83,98.56,3731523
2020-03-12,92.67,96.46,91.03,91.35,5273933
2020-03-13,95.63,97.13,87.48,92.83,4298352
2020-03-16,84.34,84.34,73.19,73.93,4883698
2020-03-17,74.43,74.67,67.69,69.56,7862775
2020-03-18,65.3,65.95,56.3,59.97,8149994
2020-03-19,59.46,69.33,57.67,65.0,7958815
2020-03-20,65.43,70.0,63.85,63.9,10008897
2020-03-23,62.69,66.43,60.5,62.92,5970214
2020-03-24,67.82,71.8,66.07,71.58,8351476
2020-03-25,73.95,84.86,72.8,81.29,5655682
2020-03-26,82.34,86.83,81.31,85.6,5436631
2020-03-27,81.78,85.78,80.0,82.55,3493106
2020-03-30,82.59,85.5,80.58,84.87,3237503
2020-03-31,84.1,88.79,83.74,86.97,4875767
2020-04-01,82.3,85.37,79.89,81.09,4468968
2020-04-02,80.0,82.27,75.63,79.4,4137832
2020-04-03,78.58,79.23,74.17,74.75,3534685
2020-04-06,80.0,88.06,78.15,87.18,5382039
2020-04-07,93.66,95.97,84.47,84.81,5867292
2020-04-08,85.75,91.86,84.7,89.05,3023933
2020-04-09,90.38,92.64,87.89,88.74,2693982
2020-04-13,89.02,89.02,85.1,87.0,2192341
2020-04-14,88.51,91.36,88.34,90.97,3034483
2020-04-15,86.58,89.35,86.2,88.56,2383547
2020-04-16,88.55,88.82,86.37,87.19,2610677
2020-04-17,90.06,92.02,88.72,91.72,5081026
2020-04-20,90.48,90.48,86.46,86.51,3565677
2020-04-21,83.65,85.51,81.63,82.7,4154852
2020-04-22,85.07,85.98,81.94,83.87,3265862
2020-04-23,84.72,85.33,82.32,82.63,3721585
2020-04-24,83.01,86.3,82.61,85.49,2213955
